,Uid,Swim_beach
571,-155.95254_19.61104,True
572,-155.95308_19.61345,True
573,-155.95264_19.61293,True
574,-155.95516_19.61239,True
575,-155.95486_19.61165,True
576,-155.94991_19.62039,True
577,-155.95047_19.62192,True
578,-155.94915_19.62158,True
579,-155.94961_19.62115,True
580,-155.95085_19.62114,True
581,-155.94902_19.62196,True
582,-155.94890_19.62219,True
583,-155.94880_19.62284,True
584,-155.94868_19.62257,True
585,-155.94865_19.62356,True
586,-155.94883_19.62380,True
587,-155.94973_19.62530,True
588,-155.94856_19.62311,True
589,-155.94885_19.62570,True
590,-155.94888_19.62407,True
591,-155.95077_19.62272,True
592,-155.94877_19.62317,True
593,-155.94923_19.62304,True
594,-155.94964_19.62290,True
595,-155.95016_19.62303,True
596,-155.94980_19.62318,True
597,-155.94939_19.62337,True
598,-155.95057_19.62241,True
599,-155.94980_19.62355,True
600,-155.94903_19.62245,True
601,-155.94968_19.62259,True
602,-155.95085_19.62301,True
603,-155.95780_19.61001,True
604,-155.95725_19.60997,True
605,-155.95721_19.61054,True
606,-155.95787_19.61061,True
607,-155.95923_19.60985,True
608,-155.96092_19.61064,True
609,-155.96080_19.61033,True
610,-155.96016_19.61014,True
611,-155.96022_19.61045,True
612,-155.96035_19.61070,True
613,-155.95992_19.61081,True
614,-155.95981_19.61052,True
615,-155.95978_19.61020,True
616,-155.95975_19.60984,True
617,-155.95925_19.61021,True
618,-155.95927_19.61052,True
619,-155.95930_19.61082,True
620,-155.95891_19.61084,True
621,-155.95523_19.60650,True
622,-155.95535_19.60592,True
623,-155.95496_19.60556,True
624,-155.95558_19.60364,True
625,-155.95568_19.60442,True
626,-155.95595_19.60490,True
627,-155.95568_19.60539,True
628,-155.95603_19.60590,True
629,-155.95565_19.60396,True
630,-155.95553_19.60493,True
631,-155.95588_19.60632,True
632,-155.95638_19.60699,True
633,-155.95591_19.60712,True
634,-155.95536_19.60721,True
635,-155.95531_19.60681,True
636,-155.95271_19.60610,True
637,-155.95303_19.60599,True
638,-155.95320_19.60668,True
639,-155.95280_19.60678,True
640,-155.95502_19.60600,True
641,-155.96452_19.60116,True
642,-155.96687_19.60064,True
643,-155.96720_19.59881,True
644,-155.96608_19.59916,True
645,-155.96476_19.59931,True
646,-155.95666_19.60270,True
647,-155.95349_19.60050,True
648,-155.95295_19.60216,True
649,-155.97113_19.59447,True
650,-155.96035_19.60270,True
651,-155.96058_19.60272,True
652,-155.96093_19.60275,True
653,-155.96115_19.60321,True
654,-155.96067_19.60318,True
655,-155.96032_19.60314,True
656,-155.96042_19.60336,True
657,-155.96076_19.60345,True
658,-155.96085_19.60364,True
659,-155.96091_19.60384,True
660,-155.96100_19.60403,True
661,-155.96106_19.60423,True
662,-155.96115_19.60442,True
663,-155.96114_19.60558,True
664,-155.96106_19.60538,True
665,-155.96098_19.60519,True
666,-155.96090_19.60499,True
667,-155.96080_19.60481,True
668,-155.96070_19.60462,True
669,-155.96063_19.60442,True
670,-155.96061_19.60420,True
671,-155.96056_19.60400,True
672,-155.96053_19.60378,True
673,-155.96046_19.60358,True
674,-155.96043_19.60504,True
675,-155.96050_19.60532,True
676,-155.96054_19.60555,True
677,-155.96056_19.60575,True
678,-155.96074_19.60597,True
679,-155.96081_19.60621,True
680,-155.96086_19.60644,True
681,-155.96091_19.60665,True
682,-155.96055_19.60669,True
683,-155.96053_19.60648,True
684,-155.96050_19.60625,True
685,-155.96048_19.60599,True
686,-155.96006_19.60668,True
687,-155.96004_19.60627,True
688,-155.96004_19.60606,True
689,-155.96003_19.60585,True
690,-155.96003_19.60564,True
691,-155.96002_19.60544,True
692,-155.96001_19.60523,True
693,-155.96001_19.60502,True
694,-155.96000_19.60482,True
695,-155.96009_19.60461,True
696,-155.96008_19.60440,True
697,-155.96003_19.60377,True
698,-155.95998_19.60326,True
699,-155.95976_19.60331,True
700,-155.95966_19.60358,True
701,-155.95962_19.60378,True
702,-155.95962_19.60399,True
703,-155.95962_19.60420,True
704,-155.95963_19.60441,True
705,-155.95963_19.60462,True
706,-155.95961_19.60483,True
707,-155.95962_19.60503,True
708,-155.95962_19.60524,True
709,-155.95963_19.60545,True
710,-155.95963_19.60565,True
711,-155.95965_19.60607,True
712,-155.95965_19.60628,True
713,-155.95966_19.60649,True
714,-155.95966_19.60669,True
715,-155.95967_19.60268,True
716,-155.95972_19.60290,True
717,-155.95935_19.60289,True
718,-155.95907_19.60307,True
719,-155.95869_19.60307,True
720,-155.95916_19.60344,True
721,-155.95906_19.60368,True
722,-155.95869_19.60358,True
723,-155.95865_19.60383,True
724,-155.95897_19.60391,True
725,-155.95885_19.60412,True
726,-155.95862_19.60413,True
727,-155.95913_19.60437,True
728,-155.95910_19.60464,True
729,-155.95911_19.60485,True
730,-155.95911_19.60506,True
731,-155.95912_19.60527,True
732,-155.95913_19.60558,True
733,-155.95914_19.60589,True
734,-155.95914_19.60610,True
