,Uid,In_WellCZ_B
887,-157.78521_21.31459,True
888,-157.78570_21.31098,True
889,-157.78891_21.30684,True
890,-157.78955_21.30576,True
891,-157.81871_21.28348,True
892,-157.81085_21.28613,True
893,-157.81080_21.29092,True
894,-157.81328_21.29229,True
895,-157.82556_21.30548,True
896,-157.82340_21.30366,True
897,-157.82416_21.30267,True
898,-157.82324_21.30058,True
899,-157.82634_21.30051,True
900,-157.82513_21.29536,True
901,-157.82767_21.30847,True
902,-157.82830_21.30839,True
903,-157.82798_21.30830,True
904,-157.82757_21.30820,True
905,-157.82908_21.30794,True
906,-157.82787_21.30811,True
907,-157.82831_21.30812,True
908,-157.82885_21.30803,True
909,-157.82734_21.30793,True
910,-157.82821_21.30803,True
911,-157.82874_21.30785,True
912,-157.82919_21.30785,True
913,-157.83082_21.30524,True
914,-157.82581_21.31036,True
915,-157.82562_21.31027,True
916,-157.82415_21.31008,True
917,-157.82615_21.31000,True
918,-157.82578_21.31000,True
919,-157.82688_21.30973,True
920,-157.82710_21.30973,True
921,-157.82756_21.30947,True
922,-157.82721_21.30892,True
923,-157.82814_21.30902,True
924,-157.82759_21.30893,True
925,-157.82762_21.30874,True
926,-157.82843_21.30848,True
927,-157.82868_21.30839,True
