,Uid,UserDays
603,-159.35617_22.09831,28
604,-159.32741_22.08296,181
605,-159.33347_22.10155,65
606,-159.71158_21.96712,15
607,-159.71142_21.96702,15
608,-159.67518_22.10909,0
609,-159.64594_22.13092,12
610,-159.64517_22.13083,12
611,-159.64728_22.12980,32
612,-159.66082_22.12941,46
613,-159.65768_21.97917,72
614,-159.45989_21.90401,94
615,-159.45898_21.90343,94
616,-159.36152_21.96452,277
617,-159.36286_21.96547,277
618,-159.38744_21.94769,38
619,-159.37133_22.05750,68
620,-159.49573_22.20278,96
621,-159.57541_21.91409,54
622,-159.48310_21.92747,14
623,-159.48202_21.92789,14
624,-159.48456_21.92101,17
625,-159.48332_21.93439,14
626,-159.46485_21.89580,81
627,-159.46443_21.90029,81
628,-159.46424_21.90065,81
629,-159.37455_22.10265,213
630,-159.49987_22.20216,164
631,-159.53322_21.92503,0
632,-159.53160_21.92529,2
633,-159.53156_21.92443,2
634,-159.53512_21.92338,1
635,-159.50011_21.92326,322
636,-159.50075_21.91888,23
637,-159.50113_21.91916,23
638,-159.46026_21.89843,94
639,-159.46588_21.90233,88
640,-159.46500_21.90140,81
641,-159.44512_21.87279,105
642,-159.46027_21.90715,94
643,-159.46169_21.90653,81
644,-159.45949_21.90662,94
645,-159.46022_21.90604,94
646,-159.46026_21.90639,94
647,-159.46012_21.90674,94
648,-159.36942_22.05554,68
649,-159.36632_22.05243,123
650,-159.36670_22.05271,123
651,-159.39292_22.06166,68
652,-159.39408_22.06240,123
653,-159.39385_22.06442,68
654,-159.38154_22.05980,68
655,-159.38436_22.05781,68
656,-159.31832_22.06445,59
657,-159.38134_22.07800,112
658,-159.35714_22.08599,90
659,-159.36917_22.07545,97
660,-159.34791_21.95821,39
661,-159.37389_21.97079,277
662,-159.36867_21.97128,277
663,-159.37207_21.96657,59
664,-159.37139_21.96740,59
665,-159.33657_22.05468,89
666,-159.33743_22.05511,76
667,-159.33537_22.05574,187
668,-159.34085_22.05445,76
669,-159.33900_22.05603,89
670,-159.34735_22.05667,76
671,-159.34915_22.05873,76
672,-159.34083_22.05893,187
673,-159.34010_22.05954,199
674,-159.34268_22.05918,187
675,-159.34493_22.05949,187
676,-159.34476_22.05592,68
677,-159.34601_22.05557,68
678,-159.34593_22.05584,68
679,-159.34603_22.05751,76
680,-159.34148_22.05750,187
681,-159.34253_22.05743,187
682,-159.34267_22.05405,68
683,-159.37341_22.05244,123
684,-159.37670_22.05622,68
685,-159.37649_22.05837,68
686,-159.37460_22.06057,68
687,-159.39405_22.05852,68
688,-159.36624_22.04887,136
689,-159.38296_22.05582,68
690,-159.38478_22.05411,68
691,-159.36619_22.05963,68
692,-159.46122_21.89193,94
693,-159.72349_21.97307,17
694,-159.72387_21.97312,17
695,-159.72275_21.97459,17
696,-159.72241_21.97504,17
697,-159.72388_21.97524,17
698,-159.72371_21.97533,17
699,-159.72314_21.97544,17
700,-159.72224_21.97531,17
701,-159.72190_21.97585,17
702,-159.72264_21.97302,11
703,-159.72126_21.97420,17
704,-159.72241_21.97375,11
705,-159.66342_21.96440,86
706,-159.72607_21.97178,22
707,-159.72084_21.97195,11
708,-159.72028_21.97087,11
709,-159.72163_21.97306,11
710,-159.71689_21.97269,12
711,-159.69943_21.96192,8
712,-159.70450_21.96594,8
713,-159.71005_21.96543,6
714,-159.70797_21.96440,8
715,-159.70826_21.96558,6
716,-159.70756_21.96544,8
717,-159.71002_21.96618,15
718,-159.71030_21.96592,15
719,-159.71535_21.96893,16
720,-159.71396_21.96804,16
721,-159.70278_21.96214,9
722,-159.70562_21.96335,8
723,-159.71278_21.96749,16
724,-159.67944_22.10005,24
725,-159.66088_22.12004,9
726,-159.66299_22.12399,36
727,-159.64767_22.12911,32
728,-159.65310_22.13081,28
729,-159.36048_21.96341,277
730,-159.36102_21.96296,277
731,-159.38704_21.94792,38
732,-159.58519_21.91358,14
733,-159.38136_22.05622,68
734,-159.49735_22.20595,161
735,-159.36839_21.97299,277
736,-159.58860_21.92147,8
737,-159.37278_22.07677,59
738,-159.35605_22.08612,90
739,-159.52160_21.92781,0
740,-159.34464_22.06160,199
741,-159.37598_22.05291,68
742,-159.37778_22.05488,68
743,-159.37526_22.05399,68
744,-159.37650_22.05459,123
745,-159.37696_22.05473,123
746,-159.38897_22.06074,68
747,-159.38768_22.06009,68
748,-159.66076_21.96185,17
749,-159.63768_21.94436,5
750,-159.58845_21.92048,8
751,-159.58865_21.92045,8
752,-159.58644_21.92071,8
753,-159.58833_21.92182,7
754,-159.58805_21.92262,7
755,-159.58746_21.92344,7
756,-159.58838_21.92367,5
757,-159.58559_21.92267,8
758,-159.38369_22.05617,68
759,-159.38400_22.05615,68
760,-159.36674_22.05410,68
761,-159.36690_22.05327,123
762,-159.38713_22.05770,68
763,-159.38750_22.05795,68
764,-159.39477_22.06516,68
765,-159.37032_22.05185,123
766,-159.37062_22.05231,123
767,-159.36965_22.05107,123
768,-159.38288_22.05664,68
769,-159.38336_22.05700,68
770,-159.37983_22.06247,68
771,-159.36038_22.07050,120
772,-159.36167_22.06975,97
773,-159.37197_22.07497,112
774,-159.36293_22.07150,120
775,-159.36304_22.06606,199
776,-159.36183_22.06788,97
777,-159.37362_22.09859,23
778,-159.37234_22.09701,90
779,-159.37365_22.09224,89
780,-159.31729_22.06890,54
781,-159.31788_22.06836,42
782,-159.31818_22.06969,54
783,-159.31867_22.06832,42
784,-159.31870_22.06812,42
785,-159.32096_22.07372,90
786,-159.32022_22.07372,90
787,-159.32264_22.08691,70
788,-159.32925_22.09590,23
789,-159.33119_22.09582,38
790,-159.31548_22.08934,38
791,-159.31609_22.08885,38
792,-159.31726_22.08820,28
793,-159.31752_22.08352,90
794,-159.31769_22.08473,70
795,-159.31785_22.08505,70
796,-159.31786_22.08611,28
797,-159.31769_22.08494,70
798,-159.31884_22.08542,70
799,-159.32023_22.08865,28
800,-159.32152_22.08817,28
801,-159.31987_22.09025,28
802,-159.31952_22.09010,28
803,-159.31790_22.09240,65
804,-159.32351_22.09641,23
805,-159.32409_22.09522,59
806,-159.32623_22.09620,23
807,-159.33121_22.09843,23
808,-159.32463_22.09703,23
809,-159.34461_22.10086,42
810,-159.31671_22.09296,65
811,-159.31575_22.09382,59
812,-159.32526_22.08133,181
813,-159.35741_22.09751,28
814,-159.35512_22.09948,65
815,-159.33108_22.08632,181
816,-159.32952_22.08624,181
817,-159.33572_22.10214,65
818,-159.33443_22.10041,42
819,-159.33518_22.09981,42
820,-159.33487_22.10171,65
821,-159.33495_22.10153,65
822,-159.33512_22.10084,42
823,-159.33690_22.10038,42
824,-159.33612_22.10062,42
825,-159.32245_22.09391,65
826,-159.32207_22.09338,65
827,-159.32096_22.09296,65
828,-159.32317_22.09202,38
829,-159.32348_22.09174,28
830,-159.32083_22.09023,28
831,-159.33146_22.09601,59
832,-159.33166_22.09644,59
833,-159.33163_22.09572,38
834,-159.33366_22.09987,42
835,-159.32742_22.09438,38
836,-159.32646_22.09399,65
837,-159.32439_22.10491,53
838,-159.30698_22.10490,18
839,-159.30500_22.10156,23
840,-159.30555_22.10189,53
841,-159.30666_22.10275,23
842,-159.30671_22.10305,23
843,-159.31668_22.13729,23
