,FID,TMK,OSDS_QTY,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,EFFLUENT,N_FLUX,P_FLUX,SOURCE,NO_STRUCT,TTL_BDRMS,NO_BATH,X,Y,Island,OSDS_TYP,B_ROOMS,BATHS,Class_type,commercial,type,OSDS_QTY_calc
90,12,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.638074331,20.8436899285,Maui, ,0.0,0.0, , , ,27.0
91,13,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.63816475,20.8436185447,Maui, ,0.0,0.0, , , ,27.0
92,14,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.638060054,20.8435424019,Maui, ,0.0,0.0, , , ,27.0
93,15,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.63811954,20.8435257457,Maui, ,0.0,0.0, , , ,27.0
94,16,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.638183786,20.8434924332,Maui, ,0.0,0.0, , , ,27.0
95,17,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.638240893,20.8434519824,Maui, ,0.0,0.0, , , ,27.0
96,18,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.63820758,20.8433853575,Maui, ,0.0,0.0, , , ,27.0
97,19,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.638171889,20.8432687639,Maui, ,0.0,0.0, , , ,27.0
98,20,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.638143335,20.8433924959,Maui, ,0.0,0.0, , , ,27.0
99,21,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.63807671,20.8433591834,Maui, ,0.0,0.0, , , ,27.0
100,22,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.63799105,20.8433901164,Maui, ,0.0,0.0, , , ,27.0
101,23,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.638050536,20.8434472235,Maui, ,0.0,0.0, , , ,27.0
102,0,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637076925,20.8535411454,Maui, ,0.0,0.0, , , ,16.0
103,1,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.636880541,20.8536715579,Maui, ,0.0,0.0, , , ,16.0
104,2,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.636835331,20.8536144508,Maui, ,0.0,0.0, , , ,16.0
105,3,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637482545,20.8538190844,Maui, ,0.0,0.0, , , ,16.0
106,4,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.63741354,20.853847638,Maui, ,0.0,0.0, , , ,16.0
107,5,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637425438,20.8537905309,Maui, ,0.0,0.0, , , ,16.0
108,6,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637572964,20.8540332359,Maui, ,0.0,0.0, , , ,16.0
109,7,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637608656,20.8540927225,Maui, ,0.0,0.0, , , ,16.0
110,8,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.63754917,20.8540736868,Maui, ,0.0,0.0, , , ,16.0
